"Type","Journal","Jacr","nRefs","nSupRefs"
"Ecology","AMERICAN NATURALIST","AmNat",27,0
"Ecology","AMERICAN NATURALIST","AmNat",45,0
"Ecology","AMERICAN NATURALIST","AmNat",87,0
"Ecology","AMERICAN NATURALIST","AmNat",73,0
"Ecology","AMERICAN NATURALIST","AmNat",172,0
"Ecology","AMERICAN NATURALIST","AmNat",60,0
"Ecology","AMERICAN NATURALIST","AmNat",97,0
"Ecology","AMERICAN NATURALIST","AmNat",72,0
"Ecology","AMERICAN NATURALIST","AmNat",30,0
"Ecology","AMERICAN NATURALIST","AmNat",30,0
"Ecology","AMERICAN NATURALIST","AmNat",62,0
"Ecology","AMERICAN NATURALIST","AmNat",43,0
"Ecology","AMERICAN NATURALIST","AmNat",92,3
"Ecology","AMERICAN NATURALIST","AmNat",52,11
"Ecology","AMERICAN NATURALIST","AmNat",76,9
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",51,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",37,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",9,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",49,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",45,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",16,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",23,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",31,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",63,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",18,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",14,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",38,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",27,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",17,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",26,4
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",32,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",13,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",31,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",19,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",26,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",43,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",14,0
